Location,Species,SL,TL,W
GO,ENNEVENT,20.4,23.9,0.209
GO,ENNEVENT,19.9,24.9,0.281
GO,ENNEVENT,18.7,24.1,0.136
GO,ENNEVENT,19.9,24.5,0.175
GO,ENNEVENT,19.9,24,0.175
GO,ENNEVENT,16.7,21,0.097
GO,ENNEVENT,18.1,21.6,0.129
GO,ENNEVENT,17.1,20,0.109
GO,ENNEVENT,18.3,23.2,0.136
GO,ENNEVENT,18.6,22.3,0.137
GO,ENNEVENT,17.9,20.6,0.111
GO,ENNEVENT,16.5,20.1,0.102
GO,ENNEVENT,19.8,23.4,0.132
GO,ENNEVENT,17.2,21,0.096
GO,ENNEVENT,18.5,21.4,0.11
GO,ENNEVENT,19.7,23.1,0.14
GO,ENNEVENT,18.5,21.6,0.13
GO,ENNEVENT,18.1,21.7,0.123
GO,ENNEVENT,19.4,23.3,0.131
GO,ENNEVENT,18.1,21.5,0.11
GO,ENNEVENT,17.7,21.3,0.102
GO,ENNEVENT,17.4,21.1,0.1
GO,ENNEVENT,18.8,22.6,0.121
GO,ENNEVENT,16.9,20.1,0.081
GO,ENNEVENT,17.6,21.4,0.105
GO,ENNEVENT,20,23.5,0.15
GO,ENNEVENT,17.9,21.4,0.101
GO,ENNEVENT,16.4,20.3,0.084
GO,ENNEVENT,18.5,21.8,0.116
GO,ENNEVENT,18,21.3,0.111
GO,ENNEVENT,18.1,21.4,0.121
GO,ENNEVENT,17.8,21.1,0.103
GO,ENNEVENT,17.1,20.4,0.106
GO,ENNEVENT,17.6,21.2,0.111
GO,ENNEVENT,17.7,21.7,0.107
GO,ENNEVENT,18.8,22,0.113
GO,ENNEVENT,18.4,22.2,0.126
GO,ENNEVENT,18.6,22,0.096
GO,ENNEVENT,17.8,21.4,0.108
GO,ENNEVENT,18.5,22.2,0.129
GO,ENNEVENT,17.3,20.9,0.104
GO,ENNEVENT,18.5,22.1,0.111
GO,ENNEVENT,16.4,19.9,0.086
GO,ENNEVENT,17.7,22.1,0.111
GO,ENNEVENT,16.3,19.4,0.075
GO,ENNEVENT,18.4,21.9,0.114
GO,ENNEVENT,17.6,19.9,0.095
GO,ENNEVENT,18.1,21.4,0.101
GO,ENNEVENT,17.7,21.3,0.093
GO,ENNEVENT,17.4,20.7,0.099
GO,ENNEVENT,16.6,20.2,0.087
GO,ENNEVENT,16.3,20,0.095
GO,ENNEVENT,17.5,21.2,0.104
GO,ENNEVENT,18,21.5,0.125
GO,ENNEVENT,18.8,22.6,0.131
GO,ENNEVENT,19.3,22.9,0.112
GO,ENNEVENT,19.3,22.4,0.104
GO,ENNEVENT,18.2,21.2,0.091
GO,ENNEVENT,18.1,21.4,0.09
GO,ENNEVENT,17.3,20.6,0.105
GO,ENNEVENT,18,21.2,0.138
GO,ENNEVENT,19.6,23.3,0.093
GO,ENNEVENT,17.6,21.3,0.066
GO,ENNEVENT,15.9,18.8,0.077
GO,ENNEVENT,18.6,22.4,0.119
GO,ENNEVENT,19,22.6,0.119
GO,ENNEVENT,17.9,21.2,0.089
GO,ENNEVENT,25,30.9,0.313
GO,ENNEVENT,17.4,21.4,0.11
GO,ENNEVENT,19.7,23.4,0.158
GO,ENNEVENT,16.6,20.6,0.102
GO,ENNEVENT,15.9,19.7,0.08
GO,ENNEVENT,15.7,19.4,0.085
GO,ENNEVENT,17.9,22.3,0.116
GO,ENNEVENT,17.1,19.9,0.09
GO,ENNEVENT,18,21.8,0.143
GO,ENNEVENT,18.4,21.7,0.114
GO,ENNEVENT,16.5,19.8,0.084
GO,ENNEVENT,18.6,22.6,0.126
GO,ENNEVENT,17.8,21.5,0.121
GO,ENNEVENT,18.6,22.7,0.122
GO,ENNEVENT,18.6,22.4,0.131
GO,ENNEVENT,16.2,19.6,0.078
GO,ENNEVENT,19.1,22.3,0.134
GO,ENNEVENT,18.9,22.9,0.135
GO,ENNEVENT,17.9,21.5,0.093
GO,ENNEVENT,19.6,24.4,0.16
GO,ENNEVENT,18.8,21.4,0.115
GO,ENNEVENT,18.5,21.8,0.127
GO,ENNEVENT,19.5,23.4,0.155
GO,ENNEVENT,17.6,21.3,0.111
GO,ENNEVENT,18.6,22.6,0.124
GO,ENNEVENT,17.6,20.4,0.106
GO,ENNEVENT,19.4,23.1,0.154
GO,ENNEVENT,18.4,21.6,0.111
GO,ENNEVENT,18.6,23.1,0.139
GO,ENNEVENT,16.7,19.1,0.093
GO,ENNEVENT,18.1,20.5,0.111
GO,ENNEVENT,17.4,21.3,0.113
GO,ENNEVENT,18.6,22.4,0.118
GO,ENNEVENT,17.4,21.4,0.115
GO,ENNEVENT,16.2,19.9,0.093
GO,ENNEVENT,17.6,21,0.096
GO,ENNEVENT,18.1,21.2,0.105
GO,ENNEVENT,16.6,19.8,0.095
GO,ENNEVENT,18.3,21.2,0.112
GO,ENNEVENT,16.6,18.9,0.082
GO,ENNEVENT,19.2,22.5,0.129
GO,ENNEVENT,18.6,21.9,0.135
GO,ENNEVENT,19.9,24.9,0.17
GO,ENNEVENT,16.7,20,0.095
GO,ENNEVENT,16.9,21.3,0.09
GO,ENNEVENT,19,23.4,0.154
GO,ENNEVENT,20.7,24.7,0.182
GO,ENNEVENT,18.7,21.7,0.13
GO,ENNEVENT,22.5,26.8,0.234
GO,ENNEVENT,17.6,22.1,0.135
GO,ENNEVENT,17.3,21,0.116
GO,ENNEVENT,18,21,0.111
GO,ENNEVENT,16.4,19.8,0.112
GO,ENNEVENT,12,14.8,0.043
GO,ENNEVENT,17.4,20.2,0.123
GO,ENNEVENT,17.1,19.8,0.116
GO,ENNEVENT,15.1,18.1,0.08
GO,ENNEVENT,15.6,18.7,0.09
GO,ENNEVENT,17.3,20.3,0.1
GO,ENNEVENT,17,19.9,0.113
GO,ENNEVENT,18.1,21,0.159
GO,ENNEVENT,17.7,20.3,0.113
GO,ENNEVENT,17.1,20,0.111
GO,ENNEVENT,16.1,18.3,0.084
GO,ENNEVENT,19.9,24.2,0.172
GO,ENNEVENT,16.2,19.3,0.08
GO,ENNEVENT,19.5,22.6,0.149
GO,ENNEVENT,18.5,21.8,0.119
GO,ENNEVENT,17.9,21,0.134
GO,ENNEVENT,18.5,21.3,0.145
GO,ENNEVENT,18.8,21.8,0.134
GO,ENNEVENT,17.7,20.7,0.115
GO,ENNEVENT,15.6,19,0.092
GO,ENNEVENT,21.3,24.7,0.193
GO,ENNEVENT,17.8,20.5,0.116
GO,ENNEVENT,17.6,20.4,0.105
GO,ENNEVENT,15.3,18.5,0.077
GO,ENNEVENT,18.6,21.2,0.122
GO,ENNEVENT,19.6,22.9,0.166
GO,ENNEVENT,21.8,25.7,0.193
GO,ENNEVENT,18.5,21.8,0.112
GO,ENNEVENT,17.5,20.9,0.113
GO,ENNEVENT,20,23.3,0.182
GO,ENNEVENT,18.8,22.3,0.122
GO,ENNEVENT,20.7,24.1,0.178
GO,ENNEVENT,18.1,20.9,0.133
GO,ENNEVENT,16.4,18.8,0.088
GO,ENNEVENT,19.9,23.2,0.155
GO,ENNEVENT,16.4,18.6,0.083
GO,ENNEVENT,18.1,20.4,0.109
GO,ENNEVENT,16.6,19.5,0.089
GO,ENNEVENT,17.6,20.1,0.116
GO,ENNEVENT,17.5,20.7,0.113
GO,ENNEVENT,16.9,19.1,0.089
GO,ENNEVENT,17.5,20.1,0.114
GO,ENNEVENT,18.3,21.9,0.104
GO,ENNEVENT,18.8,21.9,0.118
GO,ENNEVENT,16.7,19.4,0.082
GO,ENNEVENT,17,20.2,0.094
GO,ENNEVENT,19.6,24.1,0.136
GO,ENNEVENT,21.8,24.3,0.178
GO,ENNEVENT,19.7,23.3,0.139
GO,ENNEVENT,18.9,23.4,0.157
GO,ENNEVENT,17.9,21.3,0.113
GO,ENNEVENT,18.3,22.5,0.154
GO,ENNEVENT,17.8,21.4,0.125
GO,ENNEVENT,19.3,22.9,0.137
GO,ENNEVENT,20.3,23.6,0.174
GO,ENNEVENT,16.6,20.7,0.091
GO,ENNEVENT,17.3,19.1,0.099
GO,ENNEVENT,19.5,23.1,0.161
GO,ENNEVENT,17.8,20.4,0.094
GO,ENNEVENT,18.2,21.3,0.097
GO,ENNEVENT,18.3,21.8,0.112
GO,ENNEVENT,18.4,22.3,0.131
GO,ENNEVENT,17.3,20.9,0.118
GO,ENNEVENT,18.2,21.6,0.124
GO,ENNEVENT,17.9,21.8,0.125
GO,ENNEVENT,18.7,23,0.119
GO,ENNEVENT,17.8,22,0.11
GO,ENNEVENT,18.4,22.3,0.136
GO,ENNEVENT,18.4,22.3,0.142
GO,ENNEVENT,19.7,23,0.155
GO,ENNEVENT,17.6,21.1,0.134
GO,ENNEVENT,18.1,21.2,0.122
GO,ENNEVENT,17.9,21.1,0.156
GO,ENNEVENT,19.9,22.8,0.134
GO,ENNEVENT,18.9,23.2,0.172
GO,ENNEVENT,21.2,25.6,0.202
GO,ENNEVENT,18.6,22.7,0.149
GO,ENNEVENT,16.9,21.9,0.111
GO,ENNEVENT,17.6,20.8,0.101
GO,ENNEVENT,17.3,21.1,0.099
GO,ENNEVENT,17.9,20.8,0.093
GO,ENNEVENT,18.2,22.4,0.132
GO,ENNEVENT,14.3,17.5,0.061
GO,ENNEVENT,18.9,23.5,0.166
GO,ENNEVENT,16.4,19.3,0.086
GO,ENNEVENT,17.9,21.3,0.138
GO,ENNEVENT,16.7,20.5,0.116
GO,ENNEVENT,18.9,23,0.14
GO,ENNEVENT,16.8,20.5,0.09
GO,ENNEVENT,18.3,21.8,0.105
GO,ENNEVENT,17.9,21.3,0.107
GO,ENNEVENT,18.3,22.3,0.123
GO,ENNEVENT,16.8,19.9,0.1
GO,ENNEVENT,19,22.5,0.132
GO,ENNEVENT,15.7,19,0.085
GO,ENNEVENT,18.1,21.4,0.137
GO,ENNEVENT,14.7,17.6,0.078
GO,ENNEVENT,17.2,20.3,0.114
GO,ENNEVENT,16.3,19,0.091
GO,ENNEVENT,16.7,19,0.117
GO,ENNEVENT,16.1,19.6,0.089
GO,ENNEVENT,17,19.9,0.1
GO,ENNEVENT,16.7,20,0.102
GO,ENNEVENT,18,21.8,0.14
GO,ENNEVENT,17.5,20.6,0.121
GO,ENNEVENT,17.3,20.8,0.119
GO,ENNEVENT,16.7,19.8,0.102
GO,ENNEVENT,16.7,19.6,0.124
GO,ENNEVENT,18.2,21.7,0.117
GO,ENNEVENT,17.3,21.1,0.109
GO,ENNEVENT,16.7,19.9,0.092
GO,ENNEVENT,15.2,18.4,0.078
GO,ENNEVENT,16.4,19.2,0.093
GO,ECSEPULC,34.3,41.6,0.825
GO,ECSEPULC,34,43.1,0.724
GO,ECSEPULC,36.3,45.1,0.832
GO,ECSEPULC,35.7,46.3,0.868
GO,ECSEPULC,30.6,37.4,0.634
GO,ECSEPULC,23.1,28.1,0.24
GO,ECSEPULC,35.6,43,0.777
GO,ECSEPULC,32.5,40,0.643
GO,ECSEPULC,33,40.7,0.749
GO,ECSEPULC,51.8,65,1.992
GO,ECSEPULC,34.1,42.4,0.79
GO,ECSEPULC,40,53.5,1.09
GO,ECSEPULC,41.8,52.3,1.338
GO,ECSEPULC,44.8,56.3,1.544
GO,ECSEPULC,32.2,39.1,0.661
GO,ECSEPULC,37.7,45.8,0.84
GO,ECSEPULC,32.2,39.6,0.687
GO,ECSEPULC,36,44,1.08
GO,ECSEPULC,32.8,39.8,0.731
GO,ECSEPULC,30.1,35.7,0.607
GO,ECSEPULC,26.9,33.1,0.422
GO,ECSEPULC,43.6,50.8,1.567
GO,ECSEPULC,33,39.5,0.721
GO,ECSEPULC,35.7,45.8,0.864
GO,ECSEPULC,35.9,42.8,0.855
GO,ECSEPULC,39.3,52,1.087
GO,ECSEPULC,36.7,48.8,0.892
GO,ECSEPULC,29.6,36,0.539
GO,ECSEPULC,35.1,41.7,0.88
GO,ECSEPULC,34.2,31.3,0.787
GO,ECSEPULC,32.9,40.2,0.715
GO,ECSEPULC,27.5,33.5,0.496
GO,ECSEPULC,36.1,44.1,0.962
GO,ECSEPULC,38.4,46.4,1.114
GO,ECSEPULC,33.8,41,0.864
GO,ECSEPULC,55.6,70.1,2.826
GO,ECSEPULC,45.7,56.8,1.904
GO,ECSEPULC,37.3,45.8,1.353
GO,ECSEPULC,40.4,52.2,1.438
GO,ECSEPULC,34,39.6,0.937
GO,ECSEPULC,33.3,39.4,0.875
GO,ECSEPULC,24.7,29,0.383
GO,ECSEPULC,29.3,35.6,0.648
GO,ECSEPULC,23.8,28.6,0.327
GO,ECSEPULC,28.1,34.1,0.582
GO,ECSEPULC,38,46.9,1.184
GO,ECSEPULC,33.8,42.7,0.856
GO,ECSEPULC,34.5,43.3,1.042
GO,ECSEPULC,31.5,38.7,0.823
GO,ECSEPULC,30.5,37.1,0.675
GO,ECSEPULC,30.6,37.5,0.751
GO,ECSEPULC,30.5,36.3,0.645
GO,ECSEPULC,23.7,29.1,0.386
GO,ECSEPULC,28.1,33.9,0.495
GO,ECSEPULC,34.4,44.6,0.884
GO,ECSEPULC,39.2,49.8,1.224
GO,ECSEPULC,41.1,49.8,1.469
GO,ECSEPULC,41.3,52.3,1.421
GO,ECSEPULC,37.4,44.4,1.019
GO,ECSEPULC,27.6,33.3,0.49
GO,ECSEPULC,38.8,45.6,1.241
GO,ECSEPULC,64.4,81.9,3.293
GO,ECSEPULC,63.2,81.1,3.878
GO,ECSEPULC,51.9,68.9,2.357
GO,ECSEPULC,52.3,70.8,1.796
GO,ECSEPULC,45.2,57.2,1.587
GO,ECSEPULC,47.9,63.9,2.184
GO,ECSEPULC,30.4,36.6,0.607
GO,ECSEPULC,33.9,42.2,0.86
GO,ECSEPULC,33.6,40.1,0.843
GO,ECSEPULC,37.7,44.9,1.096
GO,ECSEPULC,41.3,53.6,1.259
GO,ECSEPULC,31.9,38.6,0.676
GO,ECSEPULC,35.1,43.3,0.888
GO,ECSEPULC,27.5,33.4,0.461
GO,ECSEPULC,39.1,48.2,1.091
GO,ECSEPULC,23.7,28.7,0.311
GO,ECSEPULC,23.3,27.7,0.319
GO,ECSEPULC,27.9,32.6,0.452
GO,ECSEPULC,47.9,61.9,1.632
GO,ECSEPULC,37.2,43.7,1.104
GO,ECSEPULC,34.3,41,0.726
GO,ECSEPULC,33.1,41.9,0.793
GO,ECSEPULC,44.2,59.1,1.63
GO,ECSEPULC,33.9,44.1,0.787
GO,ECSEPULC,38.2,48.9,1.09
GO,ECSEPULC,29.6,35.6,0.564
GO,ECSEPULC,37.4,46.2,0.967
GO,ECSEPULC,28.6,34.6,0.515
GO,ECSEPULC,25.6,29.6,0.368
GO,ECSEPULC,33.1,39.2,0.781
GO,ECSEPULC,33.2,38.1,0.789
GO,ECSEPULC,33.4,40.7,0.892
GO,ECSEPULC,27.2,32.5,0.448
GO,ECSEPULC,33.6,39,0.774
GO,ECSEPULC,29.5,35.7,0.591
GO,ECSEPULC,29.4,34.6,0.563
GO,ECSEPULC,35.7,45.8,0.681
GO,ECSEPULC,35.5,43.4,0.682
GO,ECSEPULC,42.3,56.2,0.977
GO,ECSEPULC,38.5,45.9,0.918
GO,ECSEPULC,27,31.9,0.352
GO,ECSEPULC,28.5,33.1,0.391
GO,ECSEPULC,35.7,43.9,0.665
GO,ECSEPULC,33,38.2,0.421
GO,ECSEPULC,34.6,41.1,0.557
GO,ECSEPULC,36.4,45.5,0.694
GO,ECSEPULC,25.7,29.7,0.266
GO,ECSEPULC,23.9,26.7,0.215
GO,ECSEPULC,24.5,27.6,0.257
GO,ECSEPULC,25.8,28.2,0.292
GO,ECSEPULC,24.4,28.6,0.216
GO,ECSEPULC,21,24.7,0.162
GO,ECSEPULC,38.7,44.6,0.878
GO,ECSEPULC,38.4,45.6,0.805
GO,ECSEPULC,17.3,20.7,0.089
GO,ECSEPULC,21.5,25.8,0.173
GO,ECSEPULC,20.7,25.4,0.186
GO,ECSEPULC,21,23.6,0.156
GO,ECSEPULC,20.6,24.5,0.13
GO,ECSEPULC,22.8,26.63,0.194
GO,ECSEPULC,21.4,24.9,0.165
GO,ECSEPULC,45.4,52.4,1.114
GO,ECSEPULC,30.6,36.3,0.485
GO,ECSEPULC,47.3,59.2,1.372
GO,ECSEPULC,27.2,29.5,0.223
GO,ECSEPULC,24.4,27.5,0.183
GO,ECSEPULC,19.8,22.6,0.116
GO,ECSEPULC,21.3,25,0.168
GO,ECSEPULC,19.2,23,0.103
GO,ECSEPULC,24.5,30,0.321
GO,ECSEPULC,21.6,25.4,0.166
GO,ECSEPULC,15.7,19.2,0.065
GO,ECSEPULC,46.1,59.3,1.478
GO,ECSEPULC,19.4,24.1,0.149
GO,ECSEPULC,24.9,30,0.283
GO,ECSEPULC,17.4,20.2,0.087
GO,ECSEPULC,33.6,41.2,0.704
GO,ECSEPULC,48.5,59.4,1.469
GO,ECSEPULC,17.4,20.4,0.1
GO,ECSEPULC,50.2,60.2,1.836
GO,ECSEPULC,48.4,58.4,1.804
GO,ECSEPULC,46.4,56.9,1.742
GO,ECSEPULC,61.7,80.6,2.634
GO,ECSEPULC,26.4,31.1,0.281
GO,ECSEPULC,18.2,21.6,0.112
GO,ECSEPULC,18.1,21.3,0.11
GO,ECSEPULC,20.2,23.5,0.159
GO,ECSEPULC,57,72.3,1.986
GO,ECSEPULC,16.4,19.7,0.075
GO,ECSEPULC,28.2,34.5,0.372
GO,ECSEPULC,19.6,23.5,0.127
GO,ECSEPULC,19.9,24.3,0.129
GO,ECSEPULC,21.5,26.6,0.249
GO,ECSEPULC,46.3,54.5,1.125
GO,ECSEPULC,20.4,24.3,0.145
GO,ECSEPULC,18.5,21.7,0.121
GO,ECSEPULC,20.6,24.1,0.127
GO,ECSEPULC,19.1,21.8,0.101
GO,ECSEPULC,36.6,44.9,0.71
GO,ECSEPULC,38.5,46.4,0.894