Well_ID,Exraction_Nuber,UW Cat number,Location,Sitename,Sitenumber,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,ID.match
A01,1,UW 158493,AG,DhabiyaI,B1,UAE18005,Gobiidae,Coryogalops,anomalus,CORYANOM,29.6,35.3,0.464,UAE18005_CORYANOM_29.6,UAE18005.1
B01,2,UW 158502,AG,DhabiyaII,B4,UAE18063,Gobiidae,Coryogalops,anomalus,CORYANOM,32.5,40.3,0.595,UAE18063_CORYANOM_32.5,UAE18063.1
C01,3,UW 158503,AG,DhabiyaIII,B5,UAE18133,Gobiidae,Coryogalops,anomalus,CORYANOM,18.8,24.5,0.146,UAE18133_CORYANOM_18.8,UAE18133.1
D01,4,UW 158504,AG,RasGhanadaI,B6,UAE18160,Gobiidae,Coryogalops,anomalus,CORYANOM,17.9,23,0.14,UAE18160_CORYANOM_17.9,UAE18160.1
E01,5,UW 158505,AG,RasGhanadaII,B7,UAE18185,Gobiidae,Coryogalops,anomalus,CORYANOM,23.7,30.2,0.29,UAE18185_CORYANOM_23.7,UAE18185.1
F01,6,UW 158506,AG,RasGhanadaIII,B8,UAE18215,Gobiidae,Coryogalops,anomalus,CORYANOM,18.3,23.8,0.127,UAE18215_CORYANOM_18.3,UAE18215.1
G01,7,UW 158500,AG,SaadiyatI,B2,UAE18036,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.6,0.456,UAE18036_CORYANOM_27.7,UAE18036.1
H01,8,UW 158501,AG,SaadiyatII,B3,UAE18048,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.5,0.393,UAE18048_CORYANOM_26.1,UAE18048.1
A02,9,UW 158507,AG,SaadiyatIII,B9,UAE18250,Gobiidae,Coryogalops,anomalus,CORYANOM,23.5,28.9,0.306,UAE18250_CORYANOM_23.5,UAE18250.1
B02,10,UW 158506,AG,RasGhanadaIII,B8,UAE18211,Gobiidae,Coryogalops,anomalus,CORYANOM,21.1,26.4,0.205,UAE18211_CORYANOM_21.1,UAE18211.1
C02,11,UW 158496,GoO,DibbaI,B13,UAE18518,Gobiidae,Coryogalops,anomalus,CORYANOM,25.4,30.9,0.353,UAE18518_CORYANOM_25.4,UAE18518.1
D02,12,UW 158498,GoO,DibbaIII,B16,UAE18738,Gobiidae,Coryogalops,anomalus,CORYANOM,21.5,26.3,0.231,UAE18738_CORYANOM_21.5,UAE18738.1
E02,13,UW 158498,GoO,DibbaIII,B16,UAE18747,Gobiidae,Coryogalops,anomalus,CORYANOM,24.4,29.3,0.316,UAE18747_CORYANOM_24.4,UAE18747.1
F02,14,UW 158498,GoO,DibbaIII,B16,UAE18798,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.9,0.526,UAE18798_CORYANOM_27.7,UAE18798.1
G02,15,UW 158494,GoO,SharmRockI,B10,UAE18332,Gobiidae,Coryogalops,anomalus,CORYANOM,19.6,25.4,0.176,UAE18332_CORYANOM_19.6,UAE18332.1
H02,16,UW 158494,GoO,SharmRockI,B10,UAE18336,Gobiidae,Coryogalops,anomalus,CORYANOM,21.2,25.9,0.196,UAE18336_CORYANOM_21.2,UAE18336.1
A03,17,UW 158499,GoO,SharmRockII,B18,UAE18867,Gobiidae,Coryogalops,anomalus,CORYANOM,20.6,25.7,0.199,UAE18867_CORYANOM_20.6,UAE18867.1
B03,18,UW 158497,GoO,SharmRockIII,B14,UAE18643,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.2,0.336,UAE18643_CORYANOM_26,UAE18643.1
C03,19,UW 158497,GoO,SharmRockIII,B14,UAE18645,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.2,0.419,UAE18645_CORYANOM_26,UAE18645.1
D03,20,UW 158495,GoO,SnoopyIII,B11,UAE18408,Gobiidae,Coryogalops,anomalus,CORYANOM,18.8,23.4,0.136,UAE18408_CORYANOM_18.8,UAE18408.1
E03,21,UW 158317,AG,DhabiyaII,B4,UAE18055,Blenniidae,Ecsenius,pulcher,ECSEPULC,57.4,75,2.685,UAE18055_ECSEPULC_57.4,UAE18055.1
F03,22,UW 158318,AG,RasGhanadaI,B6,UAE18146,Blenniidae,Ecsenius,pulcher,ECSEPULC,29.9,35.4,0.482,UAE18146_ECSEPULC_29.9,UAE18146.1
G03,23,UW 158318,AG,RasGhanadaI,B6,UAE18142,Blenniidae,Ecsenius,pulcher,ECSEPULC,31.5,39.2,0.549,UAE18142_ECSEPULC_31.5,UAE18142.1
H03,24,UW 158318,AG,RasGhanadaI,B6,UAE18145,Blenniidae,Ecsenius,pulcher,ECSEPULC,31.9,39.7,0.509,UAE18145_ECSEPULC_31.9,UAE18145.1
A04,25,UW 158318,AG,RasGhanadaI,B6,UAE18141,Blenniidae,Ecsenius,pulcher,ECSEPULC,36.3,46,0.796,UAE18141_ECSEPULC_36.3,UAE18141.1
B04,26,UW 158319,AG,RasGhanadaII,B7,UAE18182,Blenniidae,Ecsenius,pulcher,ECSEPULC,63.5,79.6,3.909,UAE18182_ECSEPULC_63.5,UAE18182.1
C04,27,UW 158320,AG,RasGhanadaIII,B8,UAE18209,Blenniidae,Ecsenius,pulcher,ECSEPULC,41.7,52.2,1.077,UAE18209_ECSEPULC_41.7,UAE18209.1
D04,28,UW 158324,GoO,DibbaI,B13,UAE18498,Blenniidae,Ecsenius,pulcher,ECSEPULC,43.6,50.8,1.567,UAE18498_ECSEPULC_43.6,UAE18498.1
E04,29,UW 158326,GoO,DibbaII,B15,UAE18682,Blenniidae,Ecsenius,pulcher,ECSEPULC,39.1,48.2,1.091,UAE18682_ECSEPULC_39.1,UAE18682.1
F04,30,UW 158324,GoO,DibbaI,B13,UAE18499,Blenniidae,Ecsenius,pulcher,ECSEPULC,33,39.5,0.721,UAE18499_ECSEPULC_33,UAE18499.1
G04,31,UW 158327,GoO,DibbaIII,B16,UAE18758,Blenniidae,Ecsenius,pulcher,ECSEPULC,47.9,61.9,1.632,UAE18758_ECSEPULC_47.9,UAE18758.1
H04,32,UW 158321,GoO,SharmRockI,B10,UAE18272,Blenniidae,Ecsenius,pulcher,ECSEPULC,36.3,45.1,0.832,UAE18272_ECSEPULC_36.3,UAE18272.1
A05,33,UW 158329,GoO,SharmRockII,B18,UAE18854,Blenniidae,Ecsenius,pulcher,ECSEPULC,38.2,48.9,1.09,UAE18854_ECSEPULC_38.2,UAE18854.1
B05,34,UW 158329,GoO,SharmRockII,B18,UAE18856,Blenniidae,Ecsenius,pulcher,ECSEPULC,37.4,46.2,0.967,UAE18856_ECSEPULC_37.4,UAE18856.1
C05,35,UW 158323,GoO,SnoopyI,B12,UAE18453,Blenniidae,Ecsenius,pulcher,ECSEPULC,26.9,33.1,0.422,UAE18453_ECSEPULC_26.9,UAE18453.1
D05,36,UW 158328,GoO,SnoopyII,B17,UAE18817,Blenniidae,Ecsenius,pulcher,ECSEPULC,33.9,44.1,0.787,UAE18817_ECSEPULC_33.9,UAE18817.1
E05,37,UW 158328,GoO,SnoopyII,B17,UAE18816,Blenniidae,Ecsenius,pulcher,ECSEPULC,44.2,59.1,1.63,UAE18816_ECSEPULC_44.2,UAE18816.1
F05,38,UW 158322,GoO,SnoopyIII,B11,UAE18418,Blenniidae,Ecsenius,pulcher,ECSEPULC,51.8,65,1.992,UAE18418_ECSEPULC_51.8,UAE18418.1
G05,39,UW 158515,AG,DhabiyaI,B1,UAE18009,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,22.5,0.122,UAE18009_ENNEVENT_19.1,UAE18009.1
H05,40,UW 158526,AG,DhabiyaII,B4,UAE18104,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,21,0.078,UAE18104_ENNEVENT_16,UAE18104.1
A06,41,UW 158526,AG,DhabiyaII,B4,UAE18087,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17,22,0.104,UAE18087_ENNEVENT_17,UAE18087.1
B06,42,UW 158527,AG,RasGhanadaI,B6,UAE18165,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.1,21.7,0.083,UAE18165_ENNEVENT_17.1,UAE18165.1
C06,43,UW 158527,AG,RasGhanadaI,B6,UAE18153,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.2,21.7,0.091,UAE18153_ENNEVENT_17.2,UAE18153.1
D06,44,UW 158528,AG,RasGhanadaII,B7,UAE18205,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,23.4,0.124,UAE18205_ENNEVENT_19.1,UAE18205.1
E06,45,UW 158529,AG,RasGhanadaIII,B8,UAE18219,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.4,21.7,0.111,UAE18219_ENNEVENT_17.4,UAE18219.1
F06,46,UW 158524,AG,SaadiyatI,B2,UAE18023,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24.1,0.157,UAE18023_ENNEVENT_19.9,UAE18023.1
G06,47,UW 158524,AG,SaadiyatI,B2,UAE18022,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,22.2,26.8,0.18,UAE18022_ENNEVENT_22.2,UAE18022.1
H06,48,UW 158525,AG,SaadiyatII,B3,UAE18046,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,13.5,15.8,0.039,UAE18046_ENNEVENT_13.5,UAE18046.1
A07,49,UW 158516,GoO,SharmRockI,B10,UAE18324,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.9,21.5,0.103,UAE18324_ENNEVENT_17.9,UAE18324.1
B07,50,UW 158516,GoO,SharmRockI,B10,UAE18321,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19,23.6,0.151,UAE18321_ENNEVENT_19,UAE18321.1
C07,51,UW 158516,GoO,SharmRockI,B10,UAE18319,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.8,23.9,0.165,UAE18319_ENNEVENT_19.8,UAE18319.1
D07,52,UW 158523,GoO,SharmRockII,B18,UAE18859,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.3,21.8,0.105,UAE18859_ENNEVENT_18.3,UAE18859.1
E07,53,UW 158523,GoO,SharmRockII,B18,UAE18861,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.3,22.3,0.123,UAE18861_ENNEVENT_18.3,UAE18861.1
F07,54,UW 158520,GoO,SharmRockIII,B14,UAE18635,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.6,19.8,0.095,UAE18635_ENNEVENT_16.6,UAE18635.1
G07,55,UW 158518,GoO,SnoopyI,B12,UAE18482,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,21.6,0.13,UAE18482_ENNEVENT_18.5,UAE18482.1
H07,56,UW 158518,GoO,SnoopyI,B12,UAE18478,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.8,23.4,0.132,UAE18478_ENNEVENT_19.8,UAE18478.1
A08,57,UW 158517,GoO,SnoopyIII,B11,UAE18413,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24,0.175,UAE18413_ENNEVENT_19.9,UAE18413.1
B08,58,UW 158517,GoO,SnoopyIII,B11,UAE18409,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,20.4,23.9,0.209,UAE18409_ENNEVENT_20.4,UAE18409.1
C08,59,UW 158534,GoO,DibbaI,B13,UAE18514,Gobiidae,Eviota,guttata,EVIOGUTT,18.2,22.9,0.161,UAE18514_EVIOGUTT_18.2,UAE18514.1
D08,60,UW 158537,GoO,DibbaIII,B16,UAE18744,Gobiidae,Eviota,guttata,EVIOGUTT,20.1,24.5,0.18,UAE18744_EVIOGUTT_20.1,UAE18744.1
E08,61,UW 158532,GoO,SharmRockI,B10,UAE18290,Gobiidae,Eviota,guttata,EVIOGUTT,18.1,22,0.131,UAE18290_EVIOGUTT_18.1,UAE18290.1
F08,62,UW 158532,GoO,SharmRockI,B10,UAE18286,Gobiidae,Eviota,guttata,EVIOGUTT,20.4,24.9,0.196,UAE18286_EVIOGUTT_20.4,UAE18286.1
G08,63,UW 158539,GoO,SharmRockII,B18,UAE18841,Gobiidae,Eviota,guttata,EVIOGUTT,18.4,22.9,0.153,UAE18841_EVIOGUTT_18.4,UAE18841.1
H08,64,UW 158539,GoO,SharmRockII,B18,UAE18840,Gobiidae,Eviota,guttata,EVIOGUTT,18.9,23.2,0.143,UAE18840_EVIOGUTT_18.9,UAE18840.1
A09,65,UW 158535,GoO,SharmRockIII,B14,UAE18575,Gobiidae,Eviota,guttata,EVIOGUTT,19.7,23.1,0.162,UAE18575_EVIOGUTT_19.7,UAE18575.1
B09,66,UW 158535,GoO,SharmRockIII,B14,UAE18568,Gobiidae,Eviota,guttata,EVIOGUTT,20.8,24.7,0.183,UAE18568_EVIOGUTT_20.8,UAE18568.1
C09,67,UW 158538,GoO,SnoopyII,B17,UAE18818,Gobiidae,Eviota,guttata,EVIOGUTT,19.2,22.8,0.158,UAE18818_EVIOGUTT_19.2,UAE18818.1
D09,68,UW 158533,GoO,SnoopyIII,B11,UAE18388,Gobiidae,Eviota,guttata,EVIOGUTT,21.2,26.5,0.223,UAE18388_EVIOGUTT_21.2,UAE18388.1
E09,69,UW 158566,GoO,DibbaI,B13,UAE18549,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.6,25.2,0.21,UAE18549_HETEVULG_20.6,UAE18549.1
F09,70,UW 158568,GoO,DibbaII,B15,UAE18725,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.1,25.3,0.243,UAE18725_HETEVULG_21.1,UAE18725.1
G09,71,UW 158569,GoO,DibbaIII,B16,UAE18804,Gobiidae,Hetereleotris,vulgaris,HETEVULG,28.4,34,0.615,UAE18804_HETEVULG_28.4,UAE18804.1
H09,72,UW 158564,GoO,SharmRockI,B10,UAE18330,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.8,30.6,0.346,UAE18330_HETEVULG_24.8,UAE18330.1
A10,73,UW 158564,GoO,SharmRockI,B10,UAE18340,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25.3,31.1,0.399,UAE18340_HETEVULG_25.3,UAE18340.1
B10,74,UW 158570,GoO,SharmRockII,B18,UAE18862,Gobiidae,Hetereleotris,vulgaris,HETEVULG,26.8,31.8,0.533,UAE18862_HETEVULG_26.8,UAE18862.1
C10,75,UW 158570,GoO,SharmRockII,B18,UAE18863,Gobiidae,Hetereleotris,vulgaris,HETEVULG,27.8,34.2,0.586,UAE18863_HETEVULG_27.8,UAE18863.1
D10,76,UW 158567,GoO,SharmRockIII,B14,UAE18658,Gobiidae,Hetereleotris,vulgaris,HETEVULG,27.4,32.6,0.485,UAE18658_HETEVULG_27.4,UAE18658.1
E10,77,UW 158565,GoO,SnoopyIII,B11,UAE18400,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.4,26.1,0.243,UAE18400_HETEVULG_23.4,UAE18400.1
F10,78,UW 158565,GoO,SnoopyIII,B11,UAE18404,Gobiidae,Hetereleotris,vulgaris,HETEVULG,27.5,34,0.477,UAE18404_HETEVULG_27.5,UAE18404.1
G10,79,UW 158464,GoO,SnoopyIII,B11,UAE18394,Blenniidae,Antennablennius,speA,ANTESPEA,27.7,32.5,0.318,UAE18394_ANTESPEA_27.7,UAE18394.1
H10,80,UW 158465,GoO,SnoopyI,B12,UAE18456,Blenniidae,Antennablennius,speA,ANTESPEA,26,31,0.367,UAE18456_ANTESPEA_26,UAE18456.1
A11,81,UW 158466,GoO,DibbaII,B15,UAE18691,Blenniidae,Antennablennius,speA,ANTESPEA,22.8,27.8,0.261,UAE18691_ANTESPEA_22.8,UAE18691.1
B11,82,UW 158466,GoO,DibbaII,B15,UAE18692,Blenniidae,Antennablennius,speA,ANTESPEA,21.8,26.7,0.212,UAE18692_ANTESPEA_21.8,UAE18692.1
C11,83,UW 158466,GoO,DibbaII,B15,UAE18699,Blenniidae,Antennablennius,speA,ANTESPEA,20.9,24,0.202,UAE18699_ANTESPEA_20.9,UAE18699.1
D11,84,UW 158467,GoO,DibbaIII,B16,UAE18768,Blenniidae,Antennablennius,speA,ANTESPEA,22.2,26.8,0.244,UAE18768_ANTESPEA_22.2,UAE18768.1
E11,85,UW 158467,GoO,DibbaIII,B16,UAE18769,Blenniidae,Antennablennius,speA,ANTESPEA,25.3,30,0.276,UAE18769_ANTESPEA_25.3,UAE18769.1
F11,86,UW 158468,GoO,SnoopyII,B17,UAE18821,Blenniidae,Antennablennius,speA,ANTESPEA,24.9,30.1,0.333,UAE18821_ANTESPEA_24.9,UAE18821.1
G11,87,UW 158468,GoO,SnoopyII,B17,UAE18822,Blenniidae,Antennablennius,speA,ANTESPEA,21.4,26.1,0.234,UAE18822_ANTESPEA_21.4,UAE18822.1
H11,88,UW 158469,GoO,DibbaIII,B16,UAE18772,Blenniidae,Antennablennius,speA,ANTESPEA,22.3,27.8,0.274,UAE18772_ANTESPEB_22.3,UAE18772.1
A12,89,Muscle Tissue only,NA,NA,NA,NA,NA,NA,NA,Muscle,NA,NA,NA,NA,Muscle.1
B12,90,Neg Control,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA,NA,NA,NegControl.1
C12,,,,,,,,,,,,,,,
D12,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,
F12,,,,,,,,,,,,,,,
G12,,,,,,,,,,,,,,,
H12,,,,,,,,,,,,,,,